Xi'an Jiaotong University,2.526,30.8,69.26
University Vitez In Travnik,3.977,27.9,8.83
Kotelawala Defence University,3.313,31.9,7.0
Universidad Intercontinental,3.006,31.4,91.05
Gemological Institute of America,2.275,19.7,62.74
Université de Cergy-Pontoise,2.478,25.5,59.88
Escuela Bancaria y Comercial,3.067,27.6,72.52
Grenoble Ecole de Management,4.268,32.6,25.44
Universidad de Flores - Buenos Aires,3.423,28.4,21.28
Kobe University of Mercantile Marine,2.427,18.3,15.18
King Fahd Security College,4.448,21.7,10.06
Daido Institute of Technology,2.638,27.1,50.9
Universidade do Sul de Santa Catarina,2.386,18.9,73.95
National Aerospace University Kharkov Aviation Institute,4.275,23.7,89.07
Ardabil University of Medical Sciences,3.323,21.1,54.44
"Indian Institute of Management in Tiruchirappalli",4.056,27.0,45.81
Fort Hays State University,4.001,28.2,75.13
Kuwait Maastricht Business School,2.336,19.7,22.62
Palm Beach State College,2.93,28.6,93.99
Kuwait University,2.221,32.0,35.21
Mamasani University of Technology,3.763,21.5,24.03
University of Calabria,3.016,20.0,57.18
Universidad Nacional de La Pampa,4.321,33.5,82.02
Faryab Higher Education Institute,3.568,20.3,6.63
Universidad Europea de Madrid,3.605,19.9,8.36
Walcz College,2.382,33.9,36.97
Stetson University,2.625,31.4,28.59
University of York,3.062,18.8,63.08
Kent State University,2.246,29.3,60.72
University of Texas at El Paso,2.981,22.0,12.16
Universidad Michoacana de San Nicolás de Hidalgo,3.237,31.0,12.38
Jawaharlal Nehru Technological University,3.816,25.4,19.36
Universidad Nacional de Santa - Chimbote,3.285,34.6,79.16
Inchon National University of Education,2.778,24.9,81.59
"Hochschule Anhalt (FH) in Hochschule für angewandte Wissenschaften",3.693,26.1,11.04
University of Nueva Caceres,2.534,19.3,86.02
Ecole pour les Etudes et la Recherche en Informatique et Electronique,2.636,24.0,46.24
Narendra Deva University of Agriculture and Technology,2.787,30.8,91.26
Vaal University of Technology,3.686,33.1,37.73
Eastern Connecticut State University,2.414,27.5,78.46
University of Colorado at Colorado Springs,2.307,30.5,53.04
Gorgan University of Agricultural Sciences and Natural Resources,2.241,21.0,15.36
Musashi University,4.448,34.9,8.9
Universidad Autonoma España de Durango,3.599,34.2,15.57
Pedagogical University of Slupsk,3.779,21.5,52.83
Ulyanovsk State Pedagogical University,2.668,26.6,79.38
Tohoku Bunka Gakuen University,3.371,24.4,9.0
Yildiz Technical University,2.903,20.0,45.39
Kamchatka State University Vitus Bering,3.474,24.1,82.67
Polish-Japanese Institute of Information Technology in Warsaw,2.297,22.0,90.04
"Arab Open University in Kuwait Branch",2.353,20.9,43.13
Faryab Higher Education Institute,3.626,24.7,76.59
Vanguard University of Southern California,2.769,26.6,16.39
Fordham University,2.257,20.6,54.2
Madhya Pradesh Bhoj (Open) University,3.418,30.8,83.99
Toyota Technological Institute,2.928,20.0,41.74
Universidad Centroamericana,2.644,33.5,9.25
Arab Open University,4.24,21.6,54.01
Qassim University,2.743,30.5,61.14
University of Athens,3.115,26.2,80.5
Denver Technical College,2.876,26.6,70.33
Novosibirsk State Technical University,2.462,28.2,92.53
Universidad Nacional de Chimborazo,2.644,31.0,35.2
Saginaw Valley State University,2.786,27.8,53.36
University of Kerala,4.44,25.5,14.75
Staatlich anerkannte Fachhochschule für Kunsttherapie,2.93,32.2,80.5
"Fachhochschule Schwäbisch Hall in Hochschule für Gestaltung",2.302,23.8,81.19
Baltimore International College,3.882,27.9,58.78
Universidad San Pablo,3.43,25.3,32.47
Beijing University of Chinese Medicine and Pharmacology,4.077,26.6,40.69
Chonbuk Sanup University of Technology (Howon University),4.146,22.3,82.21
Universidad Autónoma Metropolitana,4.374,31.0,29.05
"Universidad Tecnologica ""Vicente Perez Rosales""",3.201,22.3,82.88
Tomsk State University of Architecture and Building,4.276,26.4,89.4
Ball State University,4.098,31.7,40.55
Voronezh State University,2.226,23.9,23.07
Universidad Autonoma Monterrey,3.742,18.6,9.98
Khana-e-Noor Institute of Higher Education,4.03,34.0,13.66
University of Fribourg,3.561,21.9,12.88
Universitas Methodist Indonesia,2.947,19.8,32.65
Universidad Pontificia de Salamanca,2.366,32.5,69.41
Central China Normal University,2.476,32.8,55.33
Beirut Arab University,4.179,19.6,11.45
Chukyo Women's University,2.343,30.4,53.55
Obninsk State Technical University for Nuclear Power Engineering,4.223,19.7,89.08
Guru Jambeshwar University,3.002,25.7,90.0
"University of Wales in Bangor",2.706,27.9,23.27
Sung Kyun Kwan University,2.572,20.9,60.26
"University ""Petre Andrei"" Iasi",2.269,27.3,44.27
Novosibirsk State Academy of Economics and Mangement,2.389,20.9,82.03
Pontifcia Universitas a S.Thomas Aquinate in Urbe,2.203,30.9,88.65
Hong Kong University of Science and Technology,2.339,33.7,71.65
Universidad de Matanzas Camilo Cienfuegos,3.136,25.4,20.35
Morris College,3.818,27.3,88.22
Universidad de Huelva,3.937,22.0,41.9
"Philosophisch-Theologisches Studium Erfurt in Staatlich anerkannte Wissenschaftliche Hochschule",2.473,28.9,15.81
Baku State University,4.228,26.1,84.25
"Schiller International University in Madrid",3.03,34.3,65.84
Universitas Sebelas Maret,3.437,23.3,36.4
" Akanu Ibiam Federal Polytechnic in Unwana",3.37,21.6,14.46
